Paper_Count_In_Prev_Years,Avg_Avg_Disruption,STD_Avg_Disruption,COUNT_Avg_Disruption,STD_ERR
55,0.0006930140549785984,0.0030669161699612853,86,0.0003307140757893933
56,0.00027969446668626134,0.0025191998234604007,80,0.00028165510270814625
57,0.0005912766624950724,0.002944999290957048,73,0.00034468609550540407
58,0.00022426016536092309,0.0020870619930958723,87,0.00022375653237816358
59,-4.471113853382247e-05,0.0010863681294103458,67,0.00013272099073646063
60,0.0001613217564389652,0.002112554282282856,71,0.0002507140674152173
61,-4.3807094071532095e-05,0.0005344199547850708,65,6.628663725094305e-05
62,0.00012264615308098261,0.0016762400758431068,73,0.00019618906145280616
63,-0.00010794251017458382,0.0028471513186987376,57,0.00037711440470768865
64,2.0150487592823263e-05,0.0008316358824825625,60,0.00010736373076544908
65,-0.0004166604729092549,0.002061102953339915,83,0.00022623544043592103
66,-0.00035474469251547123,0.005836701496141568,38,0.000946838011420133
67,-0.0012747517706648364,0.009764961401760638,51,0.0013673680972187657
68,-0.0008568843383878197,0.006191368887456359,54,0.0008425385879784027
69,-0.00019345585698799515,0.0011045231835984102,48,0.00015942418934418115
70,0.0017140573578560553,0.006314579170203083,31,0.0011341318990363066
71,0.001029349658542844,0.005620544010220673,50,0.0007948649567168939
72,-4.02000949392714e-05,0.0003796486357421353,34,6.510920388105992e-05
73,0.001071145410966134,0.006930453234917716,53,0.0009519709647683136
74,-0.00015255554100063415,0.0004966883887776136,32,8.780293196031771e-05
75,-0.0006652059637395683,0.004864303284256407,32,0.0008598954595114248
76,5.272526671793429e-05,0.0002533075772812358,27,4.874906597703114e-05
77,0.00014749542696876325,0.0014107201293742774,38,0.0002288490242048685
78,-0.00017505971891685812,0.0008627673961153188,27,0.00016603966279840393
79,-8.749939291218484e-05,0.00041140115982294555,40,6.504823485377308e-05
80,0.00022952330157589032,0.001271858487096728,43,0.00019395660094764057
81,-1.3426227707488373e-05,0.00102432180807197,19,0.00023499553931845168
82,0.0004968969856418484,0.0024637967281954786,24,0.0005029204011681316
83,-0.00011015939668978421,0.00040717386598918145,27,7.836064704527817e-05
84,-8.609781870930894e-05,0.0004913296541447521,22,0.00010475183423041547
85,-2.4699862629674196e-05,0.0013368431587077792,16,0.0003342107896769448
86,-0.0003136331280292801,0.0006749533110263065,20,0.00015092414850933797
87,0.0002194614523991496,0.0017897903761166017,26,0.00035100677127150473
88,5.535409188504518e-05,0.00048752792673776153,32,8.618357575352237e-05
89,-1.3991293733303853e-05,0.0009146267096926376,36,0.00015243778494877295
90,0.00011373012633952052,0.0017505010443142875,21,0.0003819906447461652
91,-0.00011672849885457749,0.0003160742053554836,24,6.451837699805008e-05
92,0.0011083860269113241,0.004652586322622004,15,0.0012012926229538286
93,-3.37224686512322e-05,0.0008071380039137929,39,0.00012924551843263886
94,8.822206302061805e-07,3.4864462904972246e-06,14,9.317919654592534e-07
95,0.00013001334519845072,0.0011868719272101977,24,0.00024226921764155686
96,0.00025123571099560017,0.0011849255926001975,22,0.00025262698517045833
97,0.00044428988801895573,0.0021063702558020672,23,0.0004392085596758188
98,-0.0008462439542585046,0.005266475064900993,20,0.0011776196246926236
99,5.112569048892048e-06,2.140722917558133e-05,17,5.192015708395641e-06
100,5.4337731665322575e-06,7.267323752632184e-05,23,1.5153417540431618e-05
101,-0.00012824059825706504,0.00043718216461883743,16,0.00010929554115470936
102,5.752573786792672e-06,1.8365646438555488e-05,20,4.1066833887336985e-06
103,-9.103014472059692e-05,0.0004644188323526454,19,0.00010654498724749152
104,-0.00017821818279706398,0.0004554448359247732,19,0.00010448621127123942
105,-0.00014110758374835374,0.00041995718447643775,21,9.16421707858957e-05
106,-0.00023968222475543596,0.0006540108284538656,23,0.00013637068468203985
107,0.0,0.0,4,0.0
108,-0.00014868487323658827,0.0005169721121441359,13,0.00014338226602466167
109,0.0009530338693422037,0.0024767886113517983,15,0.0006395040695894473
110,-0.00012912665889647554,0.0004040322702688811,21,8.81670696053335e-05
111,1.595178065766301e-05,4.36477144258884e-05,15,1.1269791404765533e-05
112,-9.059729084316329e-05,0.00038437175227398404,18,9.05972908431633e-05
113,-1.7952605838690092e-07,6.717250024817577e-07,14,1.7952605838690092e-07
114,-5.033424533848697e-05,0.00015917085957533174,10,5.033424533848697e-05
115,0.00030750473210530786,0.0009369620266410141,15,0.00024192255501395983
116,0.0003196286472148542,0.0007808465489246071,13,0.0002165678669551363
117,-6.062972620010816e-06,1.8188917860032448e-05,9,6.062972620010816e-06
118,-2.8651835627602504e-05,0.00012010841124464136,11,3.62140485694708e-05
119,0.0,0.0,5,0.0
120,-0.000628365661292315,0.0008886432403291305,2,0.0006283656612923149
121,0.0,0.0,8,0.0
122,0.0007718547025981025,0.002238561571405428,13,0.0006208652714604242
123,-4.394987434992366e-05,0.00032658750327489196,24,6.666439494941796e-05
124,-7.331378299120228e-05,0.00016393460245599616,5,7.331378299120228e-05
125,0.0004994602711509052,0.0016738937074613593,13,0.00046425458399449614
126,1.568066636559787e-05,6.0652433527088334e-05,13,1.6821958389506784e-05
127,0.0,0.0,8,0.0
128,1.529793117825122e-06,2.137270186943155e-05,15,5.518407893584301e-06
129,1.329658996989943e-05,2.973207904163701e-05,5,1.329658996989943e-05
130,0.0,0.0,8,0.0
131,0.0,0.0,9,0.0
132,0.0,0.0,3,0.0
133,3.6393472838165346e-07,1.5863547030605513e-06,19,3.639347283816534e-07
134,1.414392147294798e-06,3.7421298780646734e-06,7,1.414392147294798e-06
135,0.00010405633217350278,0.0006756539937335023,18,0.0001592531735682442
136,0.0008145622898255623,0.0028217265438150382,12,0.0008145622898255624
137,0.0,0.0,8,0.0
138,0.001160236582144211,0.003734594536655492,11,0.0011260226201997676
139,0.0035050983346983852,0.008585702418290094,6,0.0035050983346983857
140,0.00046841176153434124,0.0014715869811127524,10,0.00046535666353674833
141,0.0,0.0,2,0.0
142,0.00377305023384254,0.01124338121239997,9,0.0037477937374666564
143,1.6123527081632353e-05,0.0003237771288546881,8,0.00011447250170313028
144,-6.957901063366266e-05,0.00010597830744048712,11,3.195366197245688e-05
145,1.6619876158504896e-07,2.863824294760735e-07,7,1.082423840360263e-07
146,-8.849132846293622e-06,2.9663140254522904e-05,8,1.0487503812630398e-05
147,5.263780914368841e-07,1.3926655255348134e-06,7,5.263780914368842e-07
148,0.0,0.0,4,0.0
149,1.0876605454943933e-06,2.8776793142350183e-06,7,1.0876605454943931e-06
150,0.005403039153240181,0.013030810716690235,6,0.005319806198446975
151,0.0023075562328604554,0.0056523353232870764,6,0.002307556232860456
152,0.013538997234649424,0.01688609633751266,7,0.0063823445033910145
153,0.0,0.0,3,0.0
154,-4.340985563402318e-06,1.3022956690206952e-05,9,4.340985563402318e-06
155,0.0,0.0,6,0.0
156,8.547008547008552e-05,0.00012087295404898256,2,8.547008547008552e-05
157,0.00013366087078409665,0.0002647560408721389,4,0.00013237802043606945
158,0.0,0.0,3,0.0
159,0.0,0.0,2,0.0
160,5.671129899519204e-05,0.00020447549642533432,13,5.671129899519204e-05
161,0.0,0.0,3,0.0
162,0.0,0.0,9,0.0
163,0.00017278797940565576,0.000346603602917492,5,0.0001550058434739713
164,0.0010069678761881885,0.0018374225128507226,9,0.0006124741709502408
165,5.297732570459847e-06,1.8351883953897846e-05,12,5.297732570459848e-06
166,0.00034630155112082804,0.0007169706104028633,6,0.00029270202600980135
167,0.0,0.0,3,0.0
168,1.0000640040962619e-07,2.449646520160468e-07,6,1.0000640040962622e-07
169,1.2666702857246254e-05,2.8323608639593443e-05,5,1.2666702857246256e-05
170,0.0,0.0,2,0.0
171,0.0005044282895368243,0.0009636734535766177,4,0.00048183672678830887
172,4.336486166153239e-05,5.5996505857507294e-05,3,3.232959773051029e-05
173,-1.244844565150896e-06,2.489689130301792e-06,4,1.244844565150896e-06
174,0.0,,1,
175,4.3224551545277755e-06,4.991141294053393e-06,4,2.4955706470266966e-06
176,2.252008791842322e-06,5.5162724362753064e-06,6,2.2520087918423226e-06
177,0.0,0.0,5,0.0
178,0.0,0.0,3,0.0
179,2.0833555580046353e-05,3.608477676695038e-05,3,2.0833555580046357e-05
180,0.0,0.0,6,0.0
181,0.0,0.0,2,0.0
182,0.0,0.0,6,0.0
183,2.9779187325977898e-06,6.658828717558676e-06,5,2.9779187325977894e-06
184,0.0001694077630925986,0.0004482108113067623,7,0.0001694077630925986
185,3.603603603603607e-05,5.09626508963278e-05,2,3.603603603603607e-05
186,0.000596432049790044,0.0018795489497777887,10,0.000594365565507524
187,0.0,,1,
188,6.3964872808488804e-06,2.1214748286856398e-05,11,6.3964872808488804e-06
189,0.000300888314886565,0.0005211538487873137,3,0.0003008883148865651
190,0.0,0.0,5,0.0
191,0.0,0.0,3,0.0
192,0.0,0.0,2,0.0
194,0.0,0.0,4,0.0
195,0.00015959481219815898,,1,
196,1.882671887943371e-05,3.260883363899539e-05,3,1.8826718879433712e-05
197,0.0,0.0,7,0.0
198,0.0,,1,
199,0.0,0.0,4,0.0
200,0.0,0.0,2,0.0
201,0.0,0.0,5,0.0
202,0.0,0.0,3,0.0
203,1.608254850496629e-05,3.9394037600727866e-05,6,1.6082548504966293e-05
204,1.5642462811856713e-05,4.142462677739073e-05,7,1.565703722952041e-05
205,2.4719519188430226e-05,4.7541466476637744e-05,4,2.3770733238318872e-05
206,0.001220420655915513,0.0032289295504387755,7,0.0012204206559155127
208,2.365990308903695e-05,4.73198061780739e-05,4,2.365990308903695e-05
209,9.352037526861006e-05,9.424545111384111e-07,2,6.664159757858231e-07
210,0.0,0.0,2,0.0
211,0.0,,1,
212,-5.384681657620399e-06,1.0769363315240799e-05,4,5.384681657620399e-06
213,0.0,,1,
214,0.0,,1,
215,0.005019701610520544,0.007098930096664222,2,0.005019701610520544
216,0.0,,1,
217,0.010691672396544576,0.021288222298318542,4,0.010644111149159271
218,0.00013500047478980543,0.00023382768138186438,3,0.00013500047478980545
219,0.0,0.0,2,0.0
220,0.0,,1,
221,0.0,,1,
222,0.0,0.0,3,0.0
223,0.0,0.0,4,0.0
224,0.0,0.0,2,0.0
225,0.0,0.0,2,0.0
226,0.0,0.0,2,0.0
227,0.0,,1,
228,0.0,0.0,2,0.0
230,0.0,,1,
231,0.0,0.0,2,0.0
233,0.0,0.0,5,0.0
234,0.0,0.0,5,0.0
235,-7.740512428115143e-08,1.548102485623029e-07,4,7.740512428115145e-08
237,0.0,0.0,2,0.0
238,0.0,0.0,3,0.0
240,0.0,0.0,4,0.0
241,0.0,0.0,4,0.0
242,3.7009757360287483e-09,5.233970079905604e-09,2,3.700975736028748e-09
243,0.0,,1,
244,0.0017818959372772627,0.0025199814012350228,2,0.0017818959372772625
245,0.0009631489489210231,,1,
246,-1.206679948305144e-06,1.726055042681605e-06,5,7.719152816684739e-07
247,-4.761831673640947e-07,1.5239506046329878e-06,2,1.077595806729325e-06
248,0.0,0.0,2,0.0
249,0.0006794306167060844,0.0009608599928372605,2,0.0006794306167060844
250,0.0,0.0,3,0.0
251,0.0,0.0,2,0.0
252,-8.99509203242852e-06,,1,
254,1.4560033639501726e-07,2.0590997041591837e-07,2,1.4560033639501726e-07
255,0.0,0.0,2,0.0
256,0.0,0.0,4,0.0
257,0.0,0.0,2,0.0
259,6.152861695974786e-07,1.6278941898924389e-06,7,6.152861695974785e-07
260,0.0013732923744038525,0.002378612166114374,3,0.0013732923744038527
262,5.894126586863827e-05,8.335553757486665e-05,2,5.894126586863827e-05
263,0.0,,1,
264,0.0,0.0,5,0.0
265,0.0,,1,
266,0.0,0.0,2,0.0
267,0.0,0.0,4,0.0
268,0.0032296993982740283,0.004550264851637534,2,0.0032175231327876996
269,0.003411654433959267,,1,
270,0.0,,1,
271,0.0,0.0,3,0.0
272,0.0,,1,
273,0.004578228565711172,,1,
274,0.0,0.0,4,0.0
275,0.0,,1,
278,1.1738270324949366e-05,,1,
280,0.0,0.0,2,0.0
281,4.47668010994697e-05,7.753837399661179e-05,3,4.47668010994697e-05
282,0.0,,1,
283,0.0,,1,
284,0.0,,1,
285,0.0,0.0,2,0.0
286,0.0,0.0,2,0.0
287,0.0,,1,
288,3.543083900226756e-05,,1,
289,0.0,,1,
290,5.36568765148983e-05,7.588228248194759e-05,2,5.36568765148983e-05
291,4.634177989508222e-06,,1,
293,5.740799313986242e-05,5.362730993992682e-05,3,3.096174182973224e-05
294,0.0,,1,
296,0.0,0.0,2,0.0
297,0.0,0.0,2,0.0
298,0.0,0.0,2,0.0
301,0.0,,1,
302,0.0018298593422765611,0.002587811899082624,2,0.001829859342276561
303,-6.352023709382207e-06,,1,
305,-1.8879204556181377e-05,2.6699227130167633e-05,2,1.8879204556181377e-05
306,0.0,0.0,2,0.0
309,2.041507624170049e-07,6.222260210385958e-06,2,4.399802389071145e-06
314,0.0,,1,
315,0.0006349238623306931,,1,
317,0.0,0.0,4,0.0
319,4.037084659683857e-06,5.709299878173282e-06,2,4.037084659683857e-06
320,2.336885399140026e-07,,1,
327,0.0001609528408176405,,1,
331,5.72030481647213e-06,,1,
333,0.0,0.0,2,0.0
334,0.0,,1,
335,0.0,,1,
337,0.0,0.0,2,0.0
338,0.0,,1,
342,0.0,,1,
343,0.0009725442344114833,,1,
347,3.6147033965341754e-05,5.111962567334723e-05,2,3.6147033965341754e-05
349,1.670233310715593e-05,,1,
351,4.43353105775114e-05,6.268992909760646e-05,2,4.432847397702139e-05
352,0.0,,1,
353,0.0,0.0,2,0.0
354,4.447739065974799e-05,,1,
355,0.00014656666426361527,,1,
357,0.0,0.0,2,0.0
361,0.0,0.0,3,0.0
362,0.0,,1,
363,0.0,,1,
366,4.499594139441526e-05,7.793525662951882e-05,3,4.4995941394415253e-05
368,0.0,,1,
369,0.0,,1,
370,-6.154161751884713e-05,,1,
371,0.0010337740759092738,,1,
373,0.0,,1,
375,0.0,,1,
377,-1.6030624714825478e-05,2.267072688501952e-05,2,1.6030624714825478e-05
379,0.0,0.0,2,0.0
381,0.0,0.0,2,0.0
382,0.0,0.0,2,0.0
383,0.0,,1,
385,0.0,,1,
389,0.0,0.0,2,0.0
393,0.0,0.0,2,0.0
397,0.0,,1,
398,0.0,,1,
399,0.0002576954662588846,,1,
400,0.0,,1,
401,0.0,0.0,2,0.0
407,1.0968760968760968e-05,1.551217052445041e-05,2,1.0968760968760967e-05
408,0.00012109201875261757,1.9166167708542177e-20,2,1.3552527156068805e-20
409,0.0,,1,
410,0.0,,1,
412,0.0,,1,
420,0.0,,1,
422,0.0,,1,
423,3.7688969526291392e-06,4.5550561823958784e-05,2,3.220911115257833e-05
424,0.0,,1,
426,0.0,,1,
431,0.0,,1,
433,0.0,,1,
437,0.0,,1,
439,0.0,,1,
444,0.0,,1,
447,0.0,,1,
